Hanzi	Meaning	Notes
龙	dragon	lóng
袭	raid	xí
儿	youngster	ér
旧	old	jiù
写	write	xiě
泻	diarrhea	xiè
两	dos	liǎng
俩	duo	liǎ
满	full	mǎn
尔	you (literary)	ěr
弥	fill	mí
虚	false	xū
联	unite	lián
关	shut	guān
那	that	nà
哪	which?	nǎ
巫	witch	wū
灵	spirit	líng
县	county	xiàn
悬	suspend	xuán
与	offer	yǔ
举	lift up	jǔ
脑	brain	nǎo
恼	annoyed	nǎo
专	specialty	zhuān
传	spread	chuán
转	rotate	zhuàn
团	troupe	tuán
黄	yellow	huáng
广	extensive	guǎng
横	horizontal	héng
窗	window	chuāng
总	general	zǒng
詹		zhān
担	assume	dàn
数	number	shù
楼	multistory building	lóu
独	alone	dú
属	belong to	shǔ
烂	spoiled	làn
兰	orchid	lán
从	follow	cóng
纵	vertical	zòng
齐	identical	qí
济	relieve	jì
丑	clown	chǒu
扭	twist	niǔ
卑	lowly	bēi
牌	brand	pái
号	appellation	hào
怪	peculiar	guài
赤	crimson	chì
亦	likewise	yì
极	extreme	jí
杂	miscellaneous	zá
曰	sayeth	yuē
乱	chaos	luàn
