一,one,yī,,
项,"item (measure word), nape","xiàng<br><br>I work for paper money to buy ITEMS I love(xiang)<br><br>项 xiàng is composed of 工 gōng and 页 “head,” which points to the original meaning “the back of the neck.” 工 gives the sound. 页 replaces 頁 in Simplified Chinese via regularization of cursive",,
刀,sword,"""dāo<br><br>Not to be confused with lì 力. Which is a pictograph of a plow for representing """"work/effort""""""",,
刃,blade,"""rèn<br><br>The knife is moving """"run"""" from the blade""",,
切,cut,qiē<br><br>Knife cuts into 7 pieces (7 - yeah.. qi yeah) ,,
召,summon,"zhào<br><br>He summuned me so harshly it was like he cut me with his mouth, or imperiales summened people with swords, not mouths<br><br>Zhào is a little like dào",,
昭,evident,"zhāo<br><br>When daylight came, it was obvious who summoned (zhào) me",,
则,rule,zé<br><br>Law/ rule is instituted by money or by sword<br><br>Those who done obey... (cutting of throat gesture with zé sound) ,,
副,"Assistant, vice-","""fù<br><br>Left side means to fill (fú) which looks like an object being forced into a box until it's """"full"""".<br><br>After adding the vice... (secretary, admiral, chief, etc.) The place is now filled fully with swords (symbolic for ruling people) """,,
丁,fourth,"dīng<br><br>Ding! The 4th answer, hook, was correct!<br>Or<br>That's something you pull to ring a bel",,
叮,sting/bite,dīng<br><br>It starts to sting once a 4th person starts yelling at you. <br><br>Or Ding gives the sound and the mouth indicates it's a bite or sting,,
可,can,kě<br><br>I can stand in the corner all day<br>(or just we se cam. Keyi all the time) ,,
哥,older brother,gē<br><br>As children me and my older brother were in bunk beds. GOod times,,
顶,"crest, crown/top of head","dǐng<br><br>This is the 4th paper I've put on top of my head (sound comes from 4th, Ding, except 3rd tone, it's crest shaped! ) ",,
乙,second,"""yǐ<br><br>Looks like a 2<br>(""""and 2 is greater than 1, yi"""") """,,
子,child,zǐ,,
孔,"cavity, orifice, keyhole","kǒng<br><br>King KONG's baby slipped through the small, concealed (乚) hole<br>",,
吼,roar,hǒu<br><br>We only found out (king kong's baby slipped through the hole) because we heard his roar,,
了,(-ed) (makes past tense) ,le<br>,,
女,woman,nǚ,,
好,good,hǎo,,
如,"be like, comply","rú<br><br>Remember from 如果 (if)<br><br>Also, baby kangaroos (roo's) are carried in pouches by their mom, so this looks like a female and a pouch. The babies want to Be LIKE their moms<br><br>如 rú contains 女 nǚ “woman” to indicate the original meaning “to yield, submit.” 口 is used to distinguish 如 from 女. 女 also gives the sound",,
母,mother,mǔ<br><br>Pictograph. Depicts breasts,,
贯,pierce,"guàn<br><br>Everyone in GUANtanamo Bay had piercings or passed through a window to get out<br><br>贯 guàn is composed of 毌 guàn and 贝 “a shellfish; shell currency; money,” indicating the original meaning “seashells (used as money) strung together.” 毌 gives the sound.",,
兄,elder brother,xiōng<br><br>I used to speak (think of word shuo) to my older brother when I waSYOUNG,,
克,overcome,"""kè<br><br>I COUld overcome 10 older brothers with KErate<br>Or<br>I know. """"Ge Ge"""" is older brother. Kè and ge, sound similar<br><br>克 depicts a battle helmet (now written 古) and an animal skin (now written 儿). It was used in early texts to mean “to defeat.” """,,
小,small,xiǎo,,
少,"few, missing",shǎo,,
吵,noisy,"chǎo<br><br>When he wants food(chow) , he's loud, for such a thing (small bird) with a mouth missing<br><br>吵 chǎo is composed of 少 shǎo (also shào) and 口 “mouth; sound; actions done with the mouth,” pointing to the original meaning “to shout, cause a commotion.” 少 gives the sound.",,
大,large,dà,,
尖,tip,"""jiān<br><br>Tip of the (big) person's head (Jens head)<br><br>Looks like tian but the """"top line"""" is broken""",,
夕,evening,"xī<br><br>Skewed moon shape, you'd SEE in the evening",,
多,many,"duō<br><br>I'm seeing many skewed moons, a duo<br><br>多 originally expressed the original meaning “much” or “many” with two pieces of meat (肉), as meat was scarce in ancient times. 肉 has been replaced by 夕 in the modern form. ",,
够,enough,"gòu<br><br>He's speaking many sentences, you might say enough and now must GO<br><br>够 gòu contains 多 “plentiful” and 句 gōu (also jù). 多 indicates the original meaning “a lot, many,” and 句 gives the sound",,
外,outside,"wài<br><br>Go outside, why? The moon is making predictions<br><br>外 wài contains 卜 “cracks on the outside of a turtle shell” to indicate the original meaning “outside.” 月 yuè originally gave the sound, but has corrupted to 夕 in the modern form.",,
名,name,míng,,
厚,thick,"hòu<br><br>Wide sun exposure over our children will give a thick sunburn afterward (after is also hòu) <br><br>厚 is composed of 㫗 and 厂 “cliff,” which indicates the original meaning “the depth of a lofty mountain.”",,
石,stone,shí,,
砂,gravel,"shā<br><br>砂 shā is composed of 少 shǎo (also shào) “grains of sand” and 石 “stone chime; stone,” pointing to the original meaning “gravel.” 少 also gives the sound.<br><br>Break stone into a few pieces, you get gravel. The stones or SHArp (sand also pronounced the same way) ",,
妙,wonderful,miào<br><br>Wonderful little girl (it's a cat! Meow!) ,,
肖,resemble,"xiào<br><br>This resembles the moon, but it has a small wig<br>(sound comes from 小 ) ",,
削,peel (v) ,"xuē<br><br>This resembles a knife peeling a carrot. I do. This while I study (xue)<br><br>削 xuē (also xiāo) is composed of 肖 xiào and 刂 “knife; blade; cutting,” pointing to the original meaning “to pare or peel with a knife.” 肖 gives the sound.",,
光,ray,"guāng<br><br>Ray's of light coming off this wide (Guang) table<br><br>光 depicts a person (儿) carrying a torch (񄵺), indicating the original meaning “bright.” ",,
太,overly,tài,,
省,economize,"""shěng<br><br>It's so small I have to hold it up to my eye to see it. Better save (economize) what I have left.<br><br>They did this to """"Shanghai"""" , so now it's a smaller economy we call """"shenghai""""<br><br>省 shěng was originally composed of “sprouting plant” (生 shēng) and “eye” (目), indicating its original meaning “to inspect plants, trees at close range.” 生 also gave the sound. It was later corrupted into 少""",,
奇,strange,"qí<br><br>He has the STRANGE ability to become big, (maybe it's from using the power of qi?)<br><br>Or<br><br>What a strange man standing on that table/house",,
川,stream,chuān<br><br>Looks like a stream,,
州,state,"""zhōu<br><br>Islands separated by a stream, they are independent states. One is the state of """"Joe"""" """,,
顺,obey,"shùn<br><br>Papers must obey the motion of the steam. Hopefully they don't get shred (shùn)<br><br>Or bowing your head in obedience, and/or obeying the command to put your head in the stream<br><br>顺 shùn is composed of 川 chuān and 页 “head,” hinting at the original meaning “to submit to.” 川 gives the sound. 页 replaces 頁 in Simplified Chinese via regularization of cursive",,
水,water,shuǐ,,
永,eternity,"yǒng<br><br>This drop (丶) of water may look young, but it's been around for an eternity",,
求,request,"qiú<br><br>Requesting to get brought out firm the water so I don't choke (qiú)<br><br>(it's kind of like 水 but a little broken, suggesting struggle, which is why you want to get out to avoid drowning/choking)<br><br>求 depicts a centipede or millipede, indicating the original meaning “myriapod (a type of insect with a lot of legs).” It was borrowed for its sound (via sound loan) to represent the meaning “to seek, request.” ",,
泉,spring (water) ,quán<br><br>Only pure water flows from that spring (sound kinda comes from river 川 ‒ chuan) ,,
原,flatlands (also begin/originate) ,"yuán<br><br>Small pure water source ORIGINATES at the wide cliff, then passes through PLAINS and FIELDS.<br><br>You can make a lot of yuán with that knowledge<br><br>原 depicts spring water (𤽄, a variant of 泉) flowing out of a basin (厂), indicating the original meaning “source of a river (now written 源).” ",,
愿,wish,"yuàn<br><br>Regarding the last story with 原, I wish to make money this way, but I don't have the heart",,
冲,"Rush/dash,  collide","chōng<br><br>You rushed to cook it, there's still ice in the middle. Dash back over to heat it up, don't collide with anyone on the way",,
泳,swim,yǒng<br><br>swimming forever (other yong),,
洲,continent,"zhōu<br><br>we talked before about different states (one called joe). But if you separate by MORE water (not just streams), it's another continent",,
沼,marsh,zhǎo<br><br>I was summoned (zhào right component) to the watery marsh,,
沙,sand,shā<br><br>Water turns the SHAle rock smaller (into sand) ,,
江,Yangtze,jiāng<br><br>I work along the yangze (~jiang ze) River,,
汁,juice,"zhī<br><br>It takes 10 times the volume of water to make one juice (zhi, is in juice kinda) ",,
潮,tide,cháo<br><br>Better hurry up eating the chow for this dynasty ceremony before the tide comes in,,
源,source,"yuán<br><br>Similar story, from before the water source comes from a pure small spot from a wide cliff (could sell it for yuán) ",,
活,lively,"huó<br><br>I was so thirsty, once the wayer hit my tongue, I was lively again. <br><br>I was so energized I shouted (roar is hòu, but this is huó, so close)<br><br>活 huó is composed of 舌 guā (unrelated to 舌 shé) and 氵 “water,” which points to the original meaning “the flowing of water.” 舌 gives the sound.(think of the Hua in putonghua) ",,
消,extinguish,"xiāo<br><br>The wigs caught in fire, gotta add water to put it out. He had a big smile (xiao) afterwards<br><br>消 xiāo is composed of 肖 xiào and 氵 “water,” which hints at the original meaning “to disappear, dissipate.” 肖 gives the sound.",,
况,situation,"kuàng<br><br>The situation is, my brother (named Kwang?) is cold. Or I checked out the situation on the TV weather channel and saw it was cold <br><br>况 kuàng contains 冫 “ice” to indicate the original meaning “cold water.” 兄 xiōng gives the sound.",,
河,river,"hé<br><br>You drink (hé) river water when it makes a corner<br><br>河 hé is composed of 可 kě and 氵 “water,” which points to the original meaning, the Yellow River (now called 黃河 Huáng Hé). 可 gives the sound.",,
湖,lake,"hú<br><br>The children who were wrecklessly playing in the graveyard (hú) flooded it, and now it's a lake",,
测,Measure,"cè<br><br>测 cè is composed of 则 zé and 氵 “water,” hinting at the original meaning “to measure depth.” 则 gives the sound.<br><br>I can no longer fathom/guage/survey what's happeing with these laws. I'm drowning myself (commit Ce-uicide)<br><br>Or more family friendly:<br><br>A fathom is a way of measure depth of water, we can imagine this going back a long time ago (bce - > cè) and this value being written into law ",,
土,soil,tǔ,,
均,equal,"jūn<br><br>平均 píngjūn - average, mean<br><br>This earth is equally divided among everyone in June<br><br>均 jūn is composed of 匀 yún and 土 “dirt; earth,” hinting at the original meaning “flat ground; even.” 匀 gives the sound.",,
肚,belly,"dù<br><br>肚子 dùzi<br><br>There's meat and soil (earth) in my belly. Me <u>du</u>ele<br><br>肚 dù is composed of 土 tǔ and 月 “meat; parts of the body,” pointing to the original meaning “belly; abdomen.” 土 gives the sound.",,
填,fill in,"tián<br><br>Use a TRUE tool (shovel) to fill in the hole)(with dirt, soil) maybe the graves at tienaman square<br><br>填 tián is composed of 真 zhēn and 土 “dirt, earth; land,” pointing to the original meaning “to fill in completely.” 真 gives the sound",,
吐,spit,"tǔ<br><br>I spit on the ground. (You need a mouth to spit obv). Don't confuse with 哇, that's too much dirt. You only spit out a single speck of dirt, if there's too much, you're bound to swallow some<br><br>sound comes from ground (tu)<br><br>吐 tǔ (also tù) is composed of 土 tǔ and 口 “mouth,” pointing to the original meaning “to spit s.t. out of one’s mouth.” 土 gives the sound.",,
哇,"waaah!<br>(Sound crying, vomiting) ",wa<br><br><br>You'll cry if you get mounds of dirt as a gift. Or vomit if you eat it,,
寸,Chinese inch,cùn,,
封,seal,"fēng<br><br>Used to seal envelopes by stacking lumps of clay then pressing with our thumb. This made it heavy, so it wouldn't blow away in the wind (feng)<br><br>封 originally depicted a seedling plant on top of a pile of dirt (now written 圭) to indicate the original meaning “to gather dirt in one place and plant trees there to indicate a border between pieces of land.” Later, 寸 “hand” was added to emphasize the action of gathering and planting.<br><br> In 封 fēng, 圭 is an empty component. It was originally a seedling (丰) on top of a pile of dirt (土). 丰 fēng also gave the sound.",,
寺,Buddhist temple,sì<br><br>temples are a bunch of clay (earth) over an inch of holy soil. People go there when they die (si) or clay and (si)lt,,
时,time,shí,,
火,fire,huǒ,,
灰,"ashes, grey","huī<br><br>We can (huì) tell there was a fire under this cliff band because of the ashes. Or this ash marks the place I'll return (huì) to<br><br>灰 huī is composed of 񄌙 yòu and 火 “fire, flame,” pointing to the original meaning “an extinguished fire.” 񄌙 gives the sound (not obvious in Mandarin) .",,
烦,annoyed,"fán<br>(burn a paper fan to annoy someone, wafting the fumes in their face) <br><br>烦 is composed of fire (火) and head (页), which indicate the original meaning “to get a headache from the heat.”",,
炎,inflammation,"yán<br><br>Years ago the (Yanny-laurel) argument inflamed the internet) <br><br>In 炎, 火 “fire, flame” is a form component, indicating the original meaning “flames jumping into the air.” ",,
淡,"thin (weak, pale, bland)",dàn<br><br>Putting water onto Flames will thin out the fire (... By dan the fireman? Or this is your first dan test) ,,
灾,disaster,zāi<br><br>A fire within a building/house is a disaster. Say zaijian to your house,,
照,illuminate,zhào<br><br>Sun and fire together will illuminate something (zhào is sound component) ,,
鱼,fish,yú,,
渔,fishing,"yú<br><br>Obvious. Fish are in water before they're caught. So if the fish is still in the water, you're fishing",,
烧,"fever, burn, roast ","shāo<br><br>I'm standing on the table because there's a fire (or because I'm confused with a fever, holding a spoon (shao) ) <br><br>烧 shāo is composed of 尧 yáo and 火 “fire, flame,” pointing to the original meaning “to set s.t. on fire.” 尧 gives the sound.",,
晓,"dawn/daybreak, to know","xiǎo<br><br>He was standing on the table then when the light hit him, he realized (it dawn on him) what he was doing. He gave a big smile (xiao) <br><br>晓 xiǎo is composed of 尧 yáo and 日 “the sun; light; period of time,” pointing to the original meaning “day break.” 尧 gives the sound.",,
里,In,"lǐ<br><br>Kinda kooks like a flower emerging from the ground it's IN<br><br>里 is composed of a field (田) and a pile of earth (土), indicating the original meaning “a place to live.” A place that can be farmed is suitable for living. ",,
量,quantity,"liàng<br><br>The sun appears to come from and go back into the ocean both (liang) in the morning and at night<br><br>Or<br><br>As below, something is being put into a bag. Itooks like two things (liang) <br><br>量 liáng was originally composed of 昜 yáng and 東, a picture of a bag, indicating the original meaning “to measure the weight of (e.g., a heavy bag).” 昜 gave the sound. ",,
埋,bury,mái<br><br>I just bought something and my dog took it and buried it,,
黑,black,"hēi<br><br>黑 depicts the front view of a person whose face has been tattooed as a punishment for a crime, indicating the original meaning “tattooing the face as a punishment for a crime.” The bottom is a corruption of 大. ",,
点,spot,diǎn<br><br>点 diǎn is composed of 占 zhàn and 灬 indicating the original meaning “dots” (which is unrelated to the sound and meaning of 灬 huǒ “fire”). 占 gives the sound.,,
墨,black ink,"mò<br><br>墨 mò is composed of 黑 hēi “black; dark” and 土 “dirt, earth; dirt-like,” pointing to the original meaning “the black substance used for writing, ink.” 黑 also gives the sound",,
冒,risk,"mào<br><br>Taking risks against the <u>mou</u>ntain of odds against him<br><br>冒 mào is composed of 目 mù and 冃 mào “hat,” which indicates the original meaning “hat.” 冃 and 目 both give the sound.",,
同,same,tóng<br><br>同 depicts a type of tray 񁱉 (a variant of 凡 fán) that is too large for one person to carry. 口 “mouth” indicates that several people have to communicate to work together to move the tray. The original meaning is “work together.” ,,
洞,cave,"dòng<br><br>Water moving rapidly together makes a hole/cave<br><br>洞 dòng is composed of 同 tóng (also tòng) and 氵 “water; liquid; actions involving liquids (like pouring, flowing, swimming, etc.),” hinting at the original meaning “rapid flowing water current.” 同 gives the sound.",,
向,orientation,"xiàng<br><br>Echos all bounce off and are directed toward the center. I can imagine the person is yelling about what they want (xiang).<br><br>At looks like a compass with a needle at the top sorta<br><br>向 depicts a mouth (口) crying out inside a room (񂮭) causing an echo, indicating the original meaning “to cause an echo by crying out inside of a room.”",,
尚,"esteem, merit","shàng<br><br>People yelling inside of a building(向xiàng) for what they want have no merit. They look like fools, which is why we attach this funny hat<br><br>尚 shàng is comprised of 冂 táng “hall of a building, the original form of 堂” and the empty components񄦬 and 口. 冂 also gives the sound.",,
字,character,"zì<br><br>字 depicted a woman giving birth to a child (子, sound component), indicating the original meaning “to give birth.” Her legs were corrupted into 宀 “building.” ",,
守,guard,"shǒu<br><br>You guard yourself by keeping your elbows and thumbs In. (In your house, literal or figurative for the body). Don't SHOW weakness<br><br>守 shǒu is composed of 寸 (here, short for 肘 zhǒu, elbow) and 宀 “building,” pointing to the original meaning “to defend one’s home.” 寸 (肘) gives the sound. <br><br>defend one's home -> guard",,
完,finish,"wán<br><br>Like yuán (beginning),  but with a top over it, indictating it's finished<br><br>完 wán contains 宀 (a depiction of a building) and 元 yuán. 宀 indicates the original meaning “a surrounding wall,” and 元 gives the sound.",,
实,reality,"shí<br><br>First reality TV show was in a house, with people rushing around. That's what they sell you, a bunch of (shi*) <br><br>实 is shorthand for 實, which depicts a building 宀 that has a string of seashells 毌 and yet another seashell 貝 inside it to indicate the the original meaning “to be rich.” Seashells were often used by ancient people as money, hence its connection to wealth. ",,
宣,proclaim,"xuān<br><br>I proclaim this is a shrine (xuan). Proclaim this is the best burger I've had under this roof<br><br>宣 xuān is composed of 亘 huān (also gèn, gèng) and 宀 “building,” which hints at the original meaning “the emperor’s palace.” 亘 gives the sound",,
宵,nighttime,"xiāo<br><br>From inside (under roof) it resembles to be nighttime<br><br>宵 xiāo is composed of 肖 xiào “night” and 宀 “house, building,” pointing to the original meaning “night.” 肖 also gives the sound.",,
安,peaceful,ān<br><br>Having a woman In a house is peaceful,,
宴,banquet,"""yàn<br><br>The wife at home will prepare a banquet (looks like an item, like food). You'll say """"yum! """" (~yàn) <br><br>宴 yàn is composed of 妟 yàn and 宀 “house, building,” pointing to the original meaning “comfort and pleasure; the easy life.” 妟 gives the sound.""",,
寄,mail,"jì<br><br>I'm getting weird mail delivered to the inside of my house<br><br>寄 jì is composed of 奇 qí and 宀 “house, building,” pointing to the original meaning “to reside in a foreign place.” 奇 gives the sound.",,
富,wealthy,fù<br><br>The wealthy can fit all the stuff inside their house,,
贮,store up,"zhù<br><br>Take this money and fill up our empty house. We are gonna live (zhù) here for a while<br><br>贮 zhǔ (also zhù) is composed of 㝉 zhù “storage box” and 贝 “a shellfish; shell currency; money,” pointing to the&nbsp;original meaning “storage box.” 㝉 also gives the sound.",,
木,tree,mù,,
林,woods,lín<br><br>林 depicts the original meaning “a thick growth of trees” using two trees (木). ,,
森,forest,sēn<br><br>Son of the forest? ,,
植,plant,"zhí<br><br>Take a small tre and cut it out of the ground (like the jerk who cut off the bottom of the tool), that's a plant<br><br>植 zhí is composed of 直 zhí and 木 “a tree; wood,” pointing to the original meaning “to establish, set upright.” 直 gives the sound.",,
杏,apricot or almond,xìng<br><br>My family (xing in family name) for generations has grown apricots and almonds,,
呆,dim-witted,"dāi<br><br>The person yelling from the top of the tree will die without help (but he's dumb for getting into that situation) <br><br>呆 originally depicted an adult carrying a child on their back, which is also its original meaning. In this depiction, the head is now written 口 and the body 木 (so, these two components are empty). Its modern meaning “stupid” is a late development. ",,
枯,withered,"kū<br>Looks like a withered tree next to a normal one. it's like a leaves of one staged a <b>coup</b> (~ku) <br><br>枯 kū is composed of 古 gǔ and 木 “a tree; wood,” pointing to the original meaning “withered vegetation.” 古 gives the sound.",,
村,village,"cūn<br><br>Build your village close to (an inch here) within a forest<br><br>村 cūn is composed of 寸 cùn and 木 “tree,” which hints at the original meaning “village.” 寸 gives the sound",,
